x,y,status,floor_factor,victim_present
41,0,clear,,0
5,77,clear,,0
52,9,clear,,0
44,5,clear,,0
10,12,clear,,1
2,8,clear,,0
62,59,clear,,0
81,72,clear,,0
54,55,clear,,0
39,75,clear,,0
12,58,clear,,0
45,6,clear,,0
31,71,clear,,0
86,7,clear,,0
78,3,clear,,0
37,2,clear,,0
3,9,clear,,1
89,12,clear,,1
14,18,clear,,0
47,15,clear,,0
13,59,clear,,0
32,72,clear,,0
79,4,clear,,0
71,0,clear,,0
16,64,clear,,0
90,13,clear,,0
35,77,clear,,1
76,78,clear,,0
82,9,clear,,0
68,74,clear,,0
29,3,clear,,0
48,16,clear,,0
6,19,clear,,0
92,59,clear,,0
9,61,clear,,0
77,79,clear,,0
69,75,clear,,0
42,58,clear,,0
75,6,clear,,0
8,65,clear,,0
41,13,clear,,0
27,78,clear,,0
33,9,clear,,0
74,10,wall,,0
19,74,wall,,0
93,23,clear,,0
25,5,clear,,0
11,70,clear,,0
44,18,clear,,0
30,83,clear,,0
85,19,wall,,0
10,25,clear,,0
51,26,clear,,0
2,21,clear,,0
43,22,clear,,0
20,75,clear,,0
67,7,clear,,0
12,71,clear,,0
86,20,clear,,0
31,84,clear,,0
4,67,clear,,0
59,3,clear,,0
23,80,clear,,0
89,25,clear,,0
17,6,clear,,0
55,32,clear,,0
47,28,clear,,0
88,66,clear,,0
38,65,clear,,0
63,9,clear,,0
76,91,clear,,0
68,87,clear,,0
21,12,clear,,0
7,77,clear,,0
26,90,clear,,0
91,76,clear,,0
42,71,clear,,0
8,78,clear,,0
27,91,clear,,0
0,74,clear,,1
93,36,clear,,0
85,32,wall,,0
13,13,clear,,0
32,26,clear,,0
51,39,clear,,0
24,22,clear,,0
43,35,clear,,0
84,73,clear,,0
35,31,clear,,0
1,38,clear,,0
87,78,clear,,0
34,72,clear,,0
53,85,clear,,0
4,80,clear,,0
37,77,clear,,0
56,90,clear,,0
36,32,clear,,0
77,33,clear,,0
9,15,wall,,0
28,28,clear,,0
69,29,clear,,0
5,44,clear,,0
38,78,clear,,0
57,91,clear,,0
49,87,clear,,0
90,88,clear,,0
54,22,clear,,0
73,35,clear,,0
20,29,clear,,0
39,42,clear,,0
12,25,clear,,0
31,38,clear,,0
91,89,clear,,0
23,34,clear,,0
83,85,clear,,0
75,81,clear,,0
41,88,clear,,0
33,84,clear,,0
13,26,clear,,0
44,93,clear,,0
32,39,wall,,0
24,35,clear,,0
65,36,clear,,1
16,31,clear,,0
76,45,clear,,0
68,41,wall,,0
1,51,clear,,0
87,91,clear,,0
34,85,clear,,0
92,26,clear,,0
37,90,clear,,0
58,33,clear,,0
77,46,clear,,0
50,29,clear,,0
9,28,clear,,0
69,42,wall,,0
61,38,clear,,0
80,51,clear,,0
8,32,clear,,0
11,37,clear,,0
71,88,clear,,0
29,91,clear,,0
62,39,clear,,0
12,38,clear,,0
72,52,clear,,0
64,48,clear,,0
88,33,clear,,1
25,93,clear,,0
46,36,clear,,0
65,49,clear,,0
57,45,clear,,0
76,58,clear,,0
49,41,clear,,0
68,54,clear,,0
7,44,clear,,0
59,91,clear,,0
92,39,clear,,0
58,46,clear,,0
50,42,clear,,0
91,43,clear,,0
42,38,clear,,0
