x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear,tri_color
31,69,clear,1,427,,0,,0,[],,,,[],
3,7,clear,0,1203,,0,,0,[],,,,[],
89,10,clear,1,804.5,,0,,0,[],,,,[],
22,20,clear,0,1425,,0,,0,[],,,,[],
79,2,clear,1,927,,0,,0,[],,,,[],
43,79,clear,0,374,,0,,0,[],,,,[],
82,7,clear,1,882.5,,0,,0,[],,,,[],
1,82,clear,0,517,,0,,0,[],,,,[],
40,10,clear,0,943,,0,,0,[],,,,[],
77,77,clear,1,864,,0,,0,[],,,,[],
75,4,clear,1,953.5,,0,,0,[],,,,[],
80,82,clear,0,495,,0,,0,[],,,,[],
33,7,clear,1,1013,,0,,0,[],,,,[],
52,20,wall,0,1497,,0,,0,[],,,,[],
93,21,clear,1,694,,0,,0,[],,,,[],
10,23,clear,1,1341,,0,,0,[],,,,[],
51,24,clear,1,772,,0,,0,[],,,,[],
67,5,clear,1,932,,0,,0,[],,,,[],
12,69,clear,1,584,,0,,0,[],,,,[],
86,18,clear,1,995,,0,,0,[],,,,[],
31,82,clear,1,1008,,0,,0,[],,,,[],
72,83,clear,0,1237,,0,,0,[],,,,[],
70,10,wall,0,1449,,0,,0,[],,,,[],
89,23,clear,1,680.5,,0,,0,[],,,,[],
47,26,clear,1,777,,0,,0,[],,,,[],
88,64,clear,1,746,,0,,0,[],,,,[],
63,7,clear,0,994.5,,0,,0,[],,,,[],
68,85,clear,0,1181,,0,,0,[],,,,[],
21,10,clear,1,1139,,1,58,1,"[59.0, 43.0, 122.0, 27.0, 96.0, 92.0, 37.04687927470163, 0.0, 2.0, 1.0, 2.0, 13.0, 1.0]",,,,[],black
40,23,clear,0,785,,0,,0,[],,,,[],
26,88,clear,1,1021,,0,,0,[],,,,[],
42,69,clear,0,160,,0,,0,[],,,,[],
0,72,clear,1,867,,0,,0,[],,,,[],
19,85,clear,0,472,,0,,0,[],,,,[],
93,34,clear,1,677.5,,0,,0,[],,,,[],
32,24,clear,1,1481,,0,,0,[],,,,[],
51,37,clear,1,171,,0,,0,[],,,,[],
35,29,clear,0,1494,,0,,0,[],,,,[],
56,88,clear,1,1135,,0,,0,[],,,,[],
9,13,clear,1,1245,,0,,0,[],,,,[],
28,26,clear,0,1477,,0,,0,[],,,,[],
47,39,clear,0,67,,0,,0,[],,,,[],
88,77,clear,1,580,,0,,0,[],,,,[],
5,42,clear,1,768,,0,,0,[],,,,[],
65,93,clear,1,1154,,0,,0,[],,,,[],
21,23,clear,0,1423,,0,,0,[],,,,[],
20,27,clear,1,1359,,0,,0,[],,,,[],
39,40,clear,1,30,,0,,0,[],,,,[],
23,32,clear,1,1410,,0,,0,[],,,,[],
83,83,clear,0,549,,0,,0,[],,,,[],
41,86,clear,0,1064,,0,,0,[],,,,[],
74,34,clear,1,1487,,0,,0,[],,,,[],
13,24,clear,0,1345,,0,,0,[],,,,[],
44,91,clear,1,1071,,0,,0,[],,,,[],
76,43,clear,1,805,,0,,0,[],,,,[],
34,83,clear,1,341,,0,,0,[],,,,[],
92,24,clear,1,1028,,0,,0,[],,,,[],
37,88,clear,0,1031,,0,,0,[],,,,[],
9,26,clear,0,1332,,0,,0,[],,,,[],
50,27,clear,1,198,,0,,0,[],,,,[],
71,86,clear,0,1197,,0,,0,[],,,,[],
62,37,clear,1,184.5,,0,,0,[],,,,[],
39,53,clear,0,62,,0,,0,[],,,,[],
25,91,clear,1,992,,0,,0,[],,,,[],
57,43,clear,0,107,,0,,0,[],,,,[],
76,56,clear,1,821,,0,,0,[],,,,[],
92,37,clear,1,913,,0,,0,[],,,,[],
50,40,clear,0,167,,0,,0,[],,,,[],
69,53,clear,1,354,,0,,0,[],,,,[],
8,43,clear,0,748,,0,,0,[],,,,[],
30,61,clear,1,254,,0,,0,[],,,,[],
43,0,clear,1,1391,,0,,0,[],,,,[],
1,3,clear,0,1178,,0,,0,[],,,,[],
87,43,clear,1,884,,1,292,1,"[293.0, 41.0, 112.0, 19.0, 94.0, 94.0, 37.27876513002822, 1.0, 1.0, 0.0, 0.0, 13.0, 0.0]",,,,[],black
4,45,clear,1,739,,0,,0,[],,,,[],
45,46,clear,1,55.666666666666664,,0,,0,[],,,,[],
64,59,clear,0,371,,0,,0,[],,,,[],
15,59,clear,1,659,,0,,0,[],,,,[],
73,0,clear,1,917,,0,,0,[],,,,[],
18,64,wall,0,1503,,0,,0,[],,,,[],
31,3,clear,1,1022,,0,,0,[],,,,[],
91,54,clear,1,1070.5,,0,,0,[],,,,[],
75,46,clear,1,656.6666666666666,,0,,0,[],,,,[],
8,56,clear,1,709,,0,,0,[],,,,[],
11,61,clear,0,638,,0,,0,[],,,,[],
10,65,clear,0,608,,0,,0,[],,,,[],
84,51,wall,0,1452,,0,,0,[],,,,[],
43,13,clear,0,726,,0,,0,[],,,,[],
87,56,clear,1,1071.5,,0,,0,[],,,,[],
3,62,clear,1,820,,0,,0,[],,,,[],
22,75,clear,1,925,,0,,0,[],,,,[],
61,3,clear,1,1008,,1,238,1,"[239.0, 39.0, 121.0, 27.0, 98.0, 89.0, 36.71980982160822, 1.0, 1.0, 1.0, 0.0, 13.0, 1.0]",,,,[],black
38,56,clear,1,193,,0,,0,[],,,,[],
79,57,clear,1,1049,,0,,0,[],,,,[],
82,62,clear,1,995,,0,,0,[],,,,[],
54,0,clear,1,896,,0,,0,[],,,,[],
40,65,clear,1,162,,0,,0,[],,,,[],
12,3,clear,0,1166,,0,,0,[],,,,[],
91,67,clear,1,739,,0,,0,[],,,,[],
75,59,clear,1,677,,0,,0,[],,,,[],
33,62,clear,1,254,,0,,0,[],,,,[],
93,76,clear,1,603,,0,,0,[],,,,[],
46,1,clear,1,1150.5,,0,,0,[],,,,[],
10,78,clear,0,891,,0,,0,[],,,,[],
49,6,clear,1,852,,0,,0,[],,,,[],
26,22,clear,1,1467,,0,,0,[],,,,[],
86,73,clear,0,484,,0,,0,[],,,,[],
3,75,clear,1,883,,0,,0,[],,,,[],
89,78,wall,0,1401,,0,,0,[],,,,[],
42,3,clear,1,1385,,0,,0,[],,,,[],
0,6,clear,0,1180,,0,,0,[],,,,[],
79,70,clear,1,875,,0,,0,[],,,,[],
82,75,clear,1,893,,0,,0,[],,,,[],
40,78,clear,1,377,,0,,0,[],,,,[],
12,16,clear,0,1266,,0,,0,[],,,,[],
72,30,clear,0,1502,,0,,0,[],,,,[],
56,22,clear,0,209,,0,,0,[],,,,[],
88,11,clear,1,799.5,,0,,0,[],,,,[],
33,75,clear,1,429,,0,,0,[],,,,[],
74,76,clear,0,1284,,0,,0,[],,,,[],
46,14,clear,1,1113,,0,,0,[],,,,[],
32,79,clear,1,392,,0,,0,[],,,,[],
51,92,clear,1,1100,,0,,0,[],,,,[],
49,19,clear,1,815,,0,,0,[],,,,[],
35,84,clear,1,342,,0,,0,[],,,,[],
7,22,clear,0,1337,,0,,0,[],,,,[],
26,35,clear,1,1405,,0,,0,[],,,,[],
86,86,clear,1,565,,0,,0,[],,,,[],
70,78,clear,1,1279,,0,,0,[],,,,[],
89,91,clear,1,527,,0,,0,[],,,,[],
9,68,clear,1,588,,0,,0,[],,,,[],
42,16,clear,1,744,,0,,0,[],,,,[],
28,81,clear,1,458,,0,,0,[],,,,[],
0,19,clear,0,1308,,0,,0,[],,,,[],
60,33,wall,0,1449,,0,,0,[],,,,[],
21,78,clear,1,936,,0,,0,[],,,,[],
74,89,clear,0,1224,,0,,0,[],,,,[],
13,79,clear,1,487,,0,,0,[],,,,[],
32,92,clear,0,972,,0,,0,[],,,,[],
90,33,clear,1,644,,0,,0,[],,,,[],
48,36,clear,0,172,,0,,0,[],,,,[],
92,79,clear,1,597,,0,,0,[],,,,[],
60,46,clear,1,802.5,,0,,0,[],,,,[],
25,25,clear,0,1472,,0,,0,[],,,,[],
44,38,clear,1,81.5,,0,,0,[],,,,[],
2,41,clear,0,772,,0,,0,[],,,,[],
62,92,clear,1,1148,,0,,0,[],,,,[],
34,30,clear,1,1496,,0,,0,[],,,,[],
78,36,clear,1,1475,,0,,0,[],,,,[],
55,52,clear,1,82,,0,,0,[],,,,[],
71,33,clear,1,1503,,0,,0,[],,,,[],
90,46,clear,1,859,,0,,0,[],,,,[],
48,49,clear,1,51.333333333333336,,0,,0,[],,,,[],
6,52,clear,0,800,,0,,0,[],,,,[],
44,51,clear,1,23.5,,0,,0,[],,,,[],
85,52,clear,1,1038.5,,0,,0,[],,,,[],
2,54,clear,0,807,,0,,0,[],,,,[],
43,55,clear,0,46,,0,,0,[],,,,[],
76,3,clear,1,931,,0,,0,[],,,,[],
59,36,clear,1,180.5,,0,,0,[],,,,[],
78,49,clear,1,630.3333333333334,,0,,0,[],,,,[],
36,52,clear,1,79,,0,,0,[],,,,[],
73,55,clear,1,214,,0,,0,[],,,,[],
6,65,clear,1,876,,0,,0,[],,,,[],
64,6,clear,1,996,,1,244,1,"[245.0, 42.0, 137.0, 31.0, 63.0, 80.0, 34.34467797187996, 0.0, 3.0, 1.0, 0.0, 10.0, 2.0]",,,,[],black
22,9,clear,1,1139,,0,,0,[],,,,[],
66,52,clear,1,343,,0,,0,[],,,,[],
85,65,clear,0,642,,0,,0,[],,,,[],
43,68,clear,0,159,,0,,0,[],,,,[],
15,6,clear,0,1113,,0,,0,[],,,,[],
1,71,clear,1,878,,0,,0,[],,,,[],
18,11,wall,0,1497,,0,,0,[],,,,[],
59,49,clear,1,93,,0,,0,[],,,,[],
91,1,clear,1,792.5,,0,,0,[],,,,[],
36,65,clear,1,179,,0,,0,[],,,,[],
80,71,clear,1,875.5,,0,,0,[],,,,[],
52,9,clear,1,887,,0,,0,[],,,,[],
10,12,clear,1,1244,,1,28,1,"[29.0, 39.0, 143.0, 31.0, 84.0, 79.0, 34.05846986834974, 0.0, 3.0, 1.0, 3.0, 9.0, 2.0]",,,,[],black
12,58,clear,1,669,,0,,0,[],,,,[],
86,7,clear,1,879.5,,0,,0,[],,,,[],
31,71,clear,1,427,,0,,0,[],,,,[],
45,6,clear,1,932,,0,,0,[],,,,[],
3,9,clear,1,1217,,1,9,1,"[10.0, 48.0, 125.0, 40.0, 90.0, 81.0, 34.55924836965846, 0.0, 3.0, 1.0, 0.0, 9.0, 2.0]",,,,[],black
89,12,clear,1,798.5,,1,298,1,"[299.0, 31.0, 115.0, 20.0, 108.0, 93.0, 38.50247649690025, 0.0, 1.0, 1.0, 0.0, 13.0, 1.0]",,,,[],black
47,15,clear,1,823,,0,,0,[],,,,[],
79,4,clear,1,927,,0,,0,[],,,,[],
82,9,clear,1,901,,0,,0,[],,,,[],
68,74,clear,0,1258,,0,,0,[],,,,[],
77,79,clear,1,861.5,,0,,0,[],,,,[],
42,58,clear,0,99,,0,,0,[],,,,[],
