agent,x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,read_step,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear
explorer_1,42,57,clear,1,49,,0,,0,,[],,,,"[[41, 56], [41, 57], [41, 58], [42, 56], [42, 58], [43, 56], [43, 57], [43, 58]]"
explorer_1,41,57,clear,1,100,,0,,0,,[],,,,"[[40, 56], [40, 57], [40, 58], [41, 56], [41, 58], [42, 56], [42, 57], [42, 58]]"
explorer_1,40,57,clear,0,100,,0,,0,,[],,,,[]
explorer_1,43,57,clear,0,47,,0,,0,,[],,,,[]
explorer_1,43,58,clear,0,47,,0,,0,,[],,,,[]
explorer_1,42,58,clear,0,99,,0,,0,,[],,,,[]
explorer_1,41,58,clear,1,101,,0,,0,,[],,,,"[[40, 57], [40, 58], [40, 59], [41, 57], [41, 59], [42, 57], [42, 58], [42, 59]]"
explorer_1,42,59,clear,0,99,,0,,0,,[],,,,[]
explorer_1,41,59,clear,1,101,,0,,0,,[],,,,"[[40, 58], [40, 59], [40, 60], [41, 58], [41, 60], [42, 58], [42, 59], [42, 60]]"
explorer_1,40,59,clear,1,102,,0,,0,,[],,,,"[[39, 58], [39, 59], [39, 60], [40, 58], [40, 60], [41, 58], [41, 59], [41, 60]]"
explorer_1,40,58,clear,1,101,,0,,0,,[],,,,"[[39, 57], [39, 58], [39, 59], [40, 57], [40, 59], [41, 57], [41, 58], [41, 59]]"
explorer_1,39,57,clear,0,100,,0,,0,,[],,,,[]
explorer_1,39,56,clear,0,55,,0,,0,,[],,,,[]
explorer_1,39,55,clear,1,55,,0,,0,,[],,,,"[[38, 54], [38, 55], [38, 56], [39, 54], [39, 56], [40, 54], [40, 55], [40, 56]]"
explorer_1,39,54,clear,1,61,,0,,0,,[],,,,"[[38, 53], [38, 54], [38, 55], [39, 53], [39, 55], [40, 53], [40, 54], [40, 55]]"
explorer_1,38,55,clear,0,58,,0,,0,,[],,,,[]
explorer_1,38,54,clear,0,61,,0,,0,,[],,,,[]
explorer_1,38,53,clear,1,66,,0,,0,,[],,,,"[[37, 52], [37, 53], [37, 54], [38, 52], [38, 54], [39, 52], [39, 53], [39, 54]]"
explorer_1,38,56,clear,1,193,,0,,0,,[],,,,"[[37, 55], [37, 56], [37, 57], [38, 55], [38, 57], [39, 55], [39, 56], [39, 57]]"
explorer_1,38,57,clear,0,193,,0,,0,,[],,,,[]
explorer_1,37,57,clear,1,196,,0,,0,,[],,,,"[[36, 56], [36, 57], [36, 58], [37, 56], [37, 58], [38, 56], [38, 57], [38, 58]]"
explorer_1,37,56,clear,1,196,,0,,0,,[],,,,"[[36, 55], [36, 56], [36, 57], [37, 55], [37, 57], [38, 55], [38, 56], [38, 57]]"
explorer_1,37,55,clear,1,196,,0,,0,,[],,,,"[[36, 54], [36, 55], [36, 56], [37, 54], [37, 56], [38, 54], [38, 55], [38, 56]]"
explorer_1,36,57,clear,1,196,,0,,0,,[],,,,"[[35, 56], [35, 57], [35, 58], [36, 56], [36, 58], [37, 56], [37, 57], [37, 58]]"
explorer_1,36,56,clear,1,197,,1,178,1,196,"[179.0, 39.0, 67.0, 16.0, 116.0, 96.0, 37.12794997687633, 1.0, 0.0, 1.0, 0.0, 15.0, 0.0]",,,,"[[35, 55], [35, 56], [35, 57], [36, 55], [36, 57], [37, 55], [37, 56], [37, 57]]"
explorer_1,36,55,clear,0,197,,0,,0,,[],,,,[]
explorer_1,37,54,clear,1,61,,0,,0,,[],,,,"[[36, 53], [36, 54], [36, 55], [37, 53], [37, 55], [38, 53], [38, 54], [38, 55]]"
explorer_1,36,54,clear,1,197,,0,,0,,[],,,,"[[35, 53], [35, 54], [35, 55], [36, 53], [36, 55], [37, 53], [37, 54], [37, 55]]"
explorer_1,37,53,clear,1,77,,0,,0,,[],,,,"[[36, 52], [36, 53], [36, 54], [37, 52], [37, 54], [38, 52], [38, 53], [38, 54]]"
explorer_1,36,53,clear,0,80,,0,,0,,[],,,,[]
explorer_1,35,55,clear,1,198,,0,,0,,[],,,,"[[34, 54], [34, 55], [34, 56], [35, 54], [35, 56], [36, 54], [36, 55], [36, 56]]"
explorer_1,35,54,clear,1,199,,0,,0,,[],,,,"[[34, 53], [34, 54], [34, 55], [35, 53], [35, 55], [36, 53], [36, 54], [36, 55]]"
explorer_1,35,53,clear,1,199,,0,,0,,[],,,,"[[34, 52], [34, 53], [34, 54], [35, 52], [35, 54], [36, 52], [36, 53], [36, 54]]"
explorer_1,37,52,clear,1,77,,0,,0,,[],,,,"[[36, 51], [36, 52], [36, 53], [37, 51], [37, 53], [38, 51], [38, 52], [38, 53]]"
explorer_1,38,52,clear,1,76,,0,,0,,[],,,,"[[37, 51], [37, 52], [37, 53], [38, 51], [38, 53], [39, 51], [39, 52], [39, 53]]"
explorer_1,36,52,clear,1,79,,0,,0,,[],,,,"[[35, 51], [35, 52], [35, 53], [36, 51], [36, 53], [37, 51], [37, 52], [37, 53]]"
explorer_1,37,51,clear,1,77,,0,,0,,[],,,,"[[36, 50], [36, 51], [36, 52], [37, 50], [37, 52], [38, 50], [38, 51], [38, 52]]"
explorer_1,37,50,clear,1,76,,0,,0,,[],,,,"[[36, 49], [36, 50], [36, 51], [37, 49], [37, 51], [38, 49], [38, 50], [38, 51]]"
